City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kailua,21.4,-157.74,75.2,69,20,10.29,US,04-25-20
wana,32.3,69.57,66.94,38,37,2.68,PK,04-25-20
sale,34.04,-6.82,66.2,59,75,9.17,MA,04-25-20
krasnoselkup,65.7,82.47,28.09,94,35,16.6,RU,04-25-20
feijo,-8.16,-70.35,89.37,60,48,3.36,BR,04-25-20
atbasar,51.8,68.33,48.07,50,0,7.72,KZ,04-25-20
svetlogorsk,52.63,29.73,48.09,76,99,12.8,BY,04-25-20
beaverlodge,55.22,-119.44,46.4,49,40,2.24,CA,04-25-20
viransehir,37.24,39.76,55.06,66,52,7.23,TR,04-25-20
ponferrada,42.55,-6.6,62.01,99,100,3.89,ES,04-25-20
vitim,59.45,112.56,36.03,77,97,3.76,RU,04-25-20
seminole,28.71,-81.21,82.0,69,75,8.05,US,04-25-20
volodarka,49.52,29.91,52.66,78,100,11.36,UA,04-25-20
lithgow,-33.48,150.15,55.99,71,48,11.99,AU,04-25-20
tadine,-21.55,167.88,71.62,71,100,12.39,NC,04-25-20
muyezerskiy,63.93,31.65,30.45,94,100,10.0,RU,04-25-20
novyy urengoy,66.08,76.63,21.34,94,11,12.5,RU,04-25-20
belmonte,-15.86,-38.88,82.4,65,40,8.05,BR,04-25-20
sergeyevka,53.88,67.42,50.31,48,33,11.07,KZ,04-25-20
jalu,29.03,21.55,73.02,28,14,7.61,LY,04-25-20
riobamba,-1.67,-78.63,86.0,55,75,4.7,EC,04-25-20
pacific grove,36.62,-121.92,63.0,77,40,8.95,US,04-25-20
metaxades,41.42,26.23,59.0,67,0,5.82,GR,04-25-20
cam ranh,11.92,109.16,84.2,79,40,16.11,VN,04-25-20
lasa,46.62,10.7,53.6,46,40,4.7,IT,04-25-20
port blair,11.67,92.75,85.24,79,61,8.77,IN,04-25-20
fenyi,27.81,114.67,64.26,66,100,3.13,CN,04-25-20
vanimo,-2.67,141.3,79.65,83,38,5.75,PG,04-25-20
watsa,3.04,29.54,67.95,71,55,3.62,CD,04-25-20
sinazongwe,-17.26,27.46,74.1,44,9,3.62,ZM,04-25-20
minab,27.15,57.08,91.4,33,0,6.93,IR,04-25-20
zhuhai,22.28,113.57,69.8,83,20,3.36,CN,04-25-20
mount isa,-20.73,139.5,73.4,43,2,4.7,AU,04-25-20
belaya gora,68.53,146.42,14.85,96,21,4.23,RU,04-25-20
longyearbyen,78.22,15.64,23.0,53,0,2.24,SJ,04-25-20
sao filipe,14.9,-24.5,71.2,76,27,20.13,CV,04-25-20
camacha,33.08,-16.33,66.2,59,20,11.41,PT,04-25-20
chelmno,53.35,18.43,54.0,34,81,10.29,PL,04-25-20
reyes,-14.32,-67.38,91.89,47,68,4.5,BO,04-25-20
half moon bay,37.46,-122.43,73.99,68,20,14.25,US,04-25-20
ballina,-28.87,153.57,61.0,93,1,6.26,AU,04-25-20
yaan,7.38,8.57,89.49,52,82,4.18,NG,04-25-20
afua,-0.16,-50.39,84.76,67,69,3.56,BR,04-25-20
petropavlovka,50.61,105.32,53.31,45,93,2.33,RU,04-25-20
wuwei,37.93,102.64,52.0,12,0,1.01,CN,04-25-20
sandwick,60.0,-1.25,46.4,65,74,3.36,GB,04-25-20
kruisfontein,-34.0,24.73,59.23,87,23,11.25,ZA,04-25-20
concepcion,-36.83,-73.05,61.61,76,100,14.23,CL,04-25-20
porterville,36.07,-119.02,79.0,50,1,5.08,US,04-25-20
taonan,45.33,122.78,39.15,66,56,6.93,CN,04-25-20
gori,41.98,44.12,43.23,63,99,3.76,GE,04-25-20
maningrida,-12.07,134.27,75.11,83,17,7.47,AU,04-25-20
bilibino,68.05,166.44,21.74,93,95,1.95,RU,04-25-20
lata,40.16,-8.33,62.01,73,90,5.01,PT,04-25-20
nueva gerona,21.88,-82.8,85.59,70,34,13.2,CU,04-25-20
yasinya,48.28,24.36,40.84,70,91,4.85,UA,04-25-20
sao miguel do araguaia,-13.28,-50.16,83.07,68,2,6.26,BR,04-25-20
quelimane,-17.88,36.89,72.86,85,4,4.56,MZ,04-25-20
chicama,-7.84,-79.15,71.6,78,19,12.75,PE,04-25-20
punalur,9.0,76.93,87.8,70,20,5.82,IN,04-25-20
vaitape,-16.52,-151.75,82.49,73,10,8.63,PF,04-25-20
laguna,38.42,-121.42,75.99,53,1,3.36,US,04-25-20
noyabrsk,63.2,75.45,29.75,90,56,12.17,RU,04-25-20
bosaso,11.28,49.18,85.57,69,19,5.95,SO,04-25-20
svetlaya,46.54,138.33,32.4,93,65,9.06,RU,04-25-20
verkhnetulomskiy,68.61,31.8,32.0,96,75,11.18,RU,04-25-20
cedar city,37.68,-113.06,55.4,37,1,3.36,US,04-25-20
pitea,65.32,21.48,41.0,48,54,12.75,SE,04-25-20
the pas,53.83,-101.25,41.0,56,1,6.93,CA,04-25-20
meulaboh,4.14,96.13,77.67,90,100,7.05,ID,04-25-20
vostok,46.49,135.88,24.1,93,97,1.7,RU,04-25-20
el alto,-4.27,-81.21,84.2,51,40,14.99,PE,04-25-20
caravelas,-17.71,-39.25,79.47,77,25,15.64,BR,04-25-20
esmeraldas,-19.76,-44.31,78.8,50,40,5.82,BR,04-25-20
taman,45.21,36.72,53.6,66,0,4.47,RU,04-25-20
jilib,0.49,42.79,78.94,85,92,2.66,SO,04-25-20
bodden town,19.28,-81.25,87.8,74,20,13.87,KY,04-25-20
sao felix do xingu,-6.64,-51.99,85.87,66,59,1.88,BR,04-25-20
mount pleasant,32.79,-79.86,82.0,57,1,5.82,US,04-25-20
phan thiet,10.93,108.1,78.28,77,69,8.59,VN,04-25-20
linares,-35.85,-71.6,70.05,52,2,8.66,CL,04-25-20
hanzhong,33.07,107.03,56.82,52,35,3.65,CN,04-25-20
luganville,-15.53,167.17,76.82,86,91,8.57,VU,04-25-20
paramonga,-10.67,-77.83,75.27,64,6,9.75,PE,04-25-20
santa vitoria do palmar,-33.52,-53.37,77.63,55,100,8.63,BR,04-25-20
pedernales,18.04,-71.74,86.0,66,40,18.34,DO,04-25-20
kendari,-3.94,122.5,75.25,92,100,3.8,ID,04-25-20
langsa,4.47,97.97,76.64,90,100,1.14,ID,04-25-20
galesong,-5.32,119.37,78.8,100,40,1.12,ID,04-25-20
tessalit,20.2,1.01,98.89,8,58,15.05,ML,04-25-20
tukrah,32.53,20.58,61.75,77,8,3.33,LY,04-25-20
bud,39.45,-86.18,66.0,70,97,16.35,US,04-25-20
karratha,-20.74,116.85,88.09,44,47,13.27,AU,04-25-20
zabol,32.25,67.25,64.89,25,7,4.16,AF,04-25-20
tres lagoas,-20.75,-51.68,86.07,52,11,7.61,BR,04-25-20
tuatapere,-46.13,167.68,50.0,69,71,8.99,NZ,04-25-20
camana,-16.62,-72.71,74.41,57,3,9.24,PE,04-25-20
tarko-sale,64.92,77.78,27.0,77,8,13.89,RU,04-25-20
hami,42.8,93.45,65.62,11,0,8.01,CN,04-25-20
mattawa,46.74,-119.9,60.01,71,90,9.17,US,04-25-20
qaqortoq,60.72,-46.03,37.4,74,75,9.17,GL,04-25-20
gotemba,35.3,138.93,57.99,63,7,3.0,JP,04-25-20
tahoua,14.89,5.27,107.6,15,20,6.93,NE,04-25-20
kumano,34.34,132.59,59.0,58,5,17.22,JP,04-25-20
ruwi,23.6,58.55,93.2,23,0,2.24,OM,04-25-20
sotouboua,8.57,0.98,88.68,47,73,4.21,TG,04-25-20
craig,40.52,-107.55,48.2,49,1,4.7,US,04-25-20
bayangol,50.7,103.47,48.29,44,52,2.06,RU,04-25-20
vila do maio,15.13,-23.22,80.6,51,20,18.34,CV,04-25-20
port-gentil,-0.72,8.78,77.0,94,40,3.36,GA,04-25-20
naze,28.37,129.48,57.2,82,75,3.36,JP,04-25-20
sekoma,-24.4,23.88,69.1,25,67,1.68,BW,04-25-20
san borja,-14.82,-66.85,90.73,50,86,4.63,BO,04-25-20
te anau,-45.42,167.72,45.36,67,97,5.44,NZ,04-25-20
barentu,15.11,37.59,85.75,14,80,7.43,ER,04-25-20
lac du bonnet,50.25,-96.06,49.93,52,100,2.59,CA,04-25-20
epe,6.58,3.98,83.17,81,59,12.12,NG,04-25-20
kundiawa,-6.02,144.97,64.94,52,100,0.96,PG,04-25-20
sosua,19.77,-70.52,86.0,70,20,13.87,DO,04-25-20
pangody,65.85,74.49,22.68,94,15,12.3,RU,04-25-20
syasstroy,60.14,32.57,35.24,85,94,7.14,RU,04-25-20
erzincan,39.75,39.5,53.6,58,75,8.05,TR,04-25-20
shenjiamen,29.96,122.3,60.71,75,81,13.82,CN,04-25-20
evensk,61.95,159.23,24.89,89,69,5.73,RU,04-25-20
mnogovershinnyy,53.94,139.92,21.74,96,100,4.56,RU,04-25-20
mayo,38.89,-76.51,63.0,76,20,5.82,US,04-25-20
wharton,29.31,-96.1,78.8,41,1,16.11,US,04-25-20
cockburn town,21.46,-71.14,79.7,79,0,18.1,TC,04-25-20
port arthur,38.8,121.27,46.4,49,64,11.18,CN,04-25-20
correntina,-13.34,-44.64,79.52,52,0,7.61,BR,04-25-20
palembang,-2.92,104.75,75.45,94,89,1.54,ID,04-25-20
road town,18.42,-64.62,84.2,70,40,12.75,VG,04-25-20
colares,38.8,-9.45,64.99,67,20,14.99,PT,04-25-20
gweru,-19.45,29.82,63.43,31,34,5.03,ZW,04-25-20
pauini,-7.71,-66.98,84.22,81,89,1.59,BR,04-25-20
san felipe,10.34,-68.74,87.4,48,20,7.16,VE,04-25-20
verkhnevilyuysk,63.45,120.32,35.35,83,89,7.45,RU,04-25-20
bomet,-0.78,35.34,58.95,54,95,2.13,KE,04-25-20
zambezi,-13.54,23.1,66.47,50,25,4.65,ZM,04-25-20
chirnside,55.8,-2.21,59.0,62,74,1.99,GB,04-25-20
pokosnoye,55.53,101.05,55.85,59,100,4.32,RU,04-25-20
borzya,50.38,116.52,38.12,49,7,2.53,RU,04-25-20
leningradskiy,69.38,178.42,22.51,92,98,9.08,RU,04-25-20
bambanglipuro,-7.95,110.28,79.66,80,100,4.16,ID,04-25-20
olga,43.74,135.29,34.75,88,40,6.93,RU,04-25-20
pisco,-13.7,-76.22,73.99,78,0,8.05,PE,04-25-20
dumas,35.87,-101.97,68.0,38,1,6.93,US,04-25-20
tevriz,57.51,72.4,36.81,74,0,6.93,RU,04-25-20
shahrud,36.42,54.98,69.48,21,100,7.78,IR,04-25-20
illapel,-31.63,-71.17,74.26,25,0,8.41,CL,04-25-20
kiunga,-6.12,141.29,73.22,97,94,1.23,PG,04-25-20
ixtapa,20.7,-105.2,75.2,57,75,4.7,MX,04-25-20
bangolo,7.01,-7.47,88.47,48,100,3.27,CI,04-25-20
sambava,-14.27,50.17,76.6,90,65,5.97,MG,04-25-20
leshukonskoye,64.9,45.76,30.2,95,100,8.01,RU,04-25-20
abu samrah,35.3,37.18,57.22,64,24,20.24,SY,04-25-20
pafos,34.77,32.42,62.6,77,75,17.22,CY,04-25-20
nemuro,43.32,145.57,43.83,87,100,21.88,JP,04-25-20
manokwari,-0.87,134.08,80.96,72,100,5.35,ID,04-25-20
los lunas,34.81,-106.73,66.0,25,1,6.29,US,04-25-20
roros,62.57,11.38,35.6,93,90,14.99,NO,04-25-20
berberati,4.26,15.79,80.91,49,42,0.98,CF,04-25-20
